,Tickers,Days_to_Exp,Price @ DtE,CPSP,Actual Price @ Expiry,Expected %Change,Actual %Change,Expected - Actual,MarketCap,Beta,1W %Change,50 Day MA,MA to TP %,Sharpe Ratio,30day Vol,95% VaR,predicted Direction
64,F,4,6.9000000953674325,7.082141141880701,7.0,2.6397252753018874,1.44927396015119,1.1904513151506975,I E,I E,-0.14471421513016067,6.687800025939941,-3.0753632825303714,,2.1115043302164365,-7.48,Correct
65,FB,0,266.64999389648443,282.5296916477156,266.6099853515625,5.95525899670404,-0.015004142448045007,5.970263139152085,761.2047032319999,1.255852,-11.864467652376034,258.41960083007814,-3.0720471743337727,12.580447346849,2.5206546782111494,-5.6,False
66,FB,1,268.08999633789057,285.5587801400728,266.6099853515625,6.516014786379891,-0.5520575204390387,7.06807230681893,763.74016,1.255852,-9.257380814211126,257.83840118408204,-3.8239379662969046,13.31795568344573,2.521320695899786,-5.6,False
67,FB,2,273.72000122070307,285.6448659545062,266.6099853515625,4.35659238660751,-2.597550722428828,6.9541431090363375,779.778981888,1.255852,-6.643932529093179,257.01800140380857,-6.101855817042602,14.30700167428726,2.5312943912504995,-5.59,False
68,FB,3,271.16000366210943,289.42659651165246,266.6099853515625,6.73646282742528,-1.6779828326808393,8.41444566010612,772.486004736,1.255852,-7.661921855006485,255.9564013671875,-5.606874940843772,13.554736007679526,2.7907323957613825,-5.59,False
69,FB,4,282.7300109863281,287.2500805682592,266.6099853515625,1.5987229534503302,-5.701561563461028,7.300284516911358,805.446877184,1.255852,-3.577515241356033,254.8548013305664,-9.859303424675943,,2.750342148378812,-5.53,False
70,GE,0,5.9650001525878915,6.783759706338879,5.949999809265137,13.726060902039904,-0.25147263938035197,13.977533541420257,52.03831193600001,0.9247489999999999,-7.531057906911466,6.566500024795532,10.268683609132854,-11.935227040536189,2.52361901122761,-8.36,False
71,GE,1,6.0,6.858045769331022,5.949999809265137,14.300762822183696,-0.8333365122477213,15.134099334431417,52.519739392,0.9247489999999999,-3.069467778095241,6.582200021743773,9.70333369572957,-11.571149240093847,2.5020729068145315,-8.35,False
72,GE,2,6.1599998474121085,6.867727198330628,5.949999809265137,11.489080656647163,-3.409091612805727,14.898172269452889,53.920268288,0.9247489999999999,-2.8391214644105,6.5988000202178965,7.123379605116898,-11.206344828028104,2.5967649162080706,-8.36,False
73,GE,3,6.139999866485597,6.852911554732206,5.949999809265137,11.610939800470458,-3.094463539935088,14.705403340405546,53.745201152,0.9247489999999999,-7.1104426253455895,6.611600027084352,7.680784541591351,-11.428288285209955,2.5535807230919443,-8.34,False
74,GE,4,6.420000076293945,6.502635661639442,5.949999809265137,1.28715863494505,-7.320876346470766,8.608034981415816,56.196124672,0.924749,-0.9259250401687472,6.618400030136107,3.0903419234333183,,2.564585330704665,-8.3,False
75,GOOG,0,1520.9300537109375,1607.5466141495176,1520.719970703125,5.6949732979004,-0.013812798774007765,5.708786096674408,1033.635299328,1.07525,-12.00963125623761,1541.7873901367188,1.3853582407978138,5.562989784443372,1.8645365660612627,-4.85,False
76,GOOG,1,1532.02001953125,1613.7905823401345,1520.719970703125,5.337434352450807,-0.7375914599068006,6.075025812357608,1038.7065405439998,1.07525,-7.749091920518273,1540.1337915039062,0.5296126597052403,6.726410038284392,1.8539299251663488,-4.84,False
77,GOOG,2,1556.9599609375,1624.7200084690255,1520.719970703125,4.352073863911364,-2.3276122150600225,6.679686078971386,1055.892897792,1.07525,-4.725311179639243,1537.7655908203126,-1.2328107721941557,7.482862883720541,1.8727297426921676,-4.84,False
